ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,chinese_holiday,chinese_holiday_lower,chinese_holiday_upper,holidays,holidays_lower,holidays_upper,monthly,monthly_lower,monthly_upper,quarterly,quarterly_lower,quarterly_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2017-05-04,30774.420484627255,-53875.462917541336,63567.56326692694,30774.420484627255,30774.420484627255,-25709.119603521325,-25709.119603521325,-25709.119603521325,0.0,0.0,0.0,0.0,0.0,0.0,4042.983628723993,4042.983628723993,4042.983628723993,2155.320567574538,2155.320567574538,2155.320567574538,2813.2704882463495,2813.2704882463495,2813.2704882463495,-34720.69428806621,-34720.69428806621,-34720.69428806621,0.0,0.0,0.0,5065.30088110593
2017-05-05,30831.609958915098,-62015.068013008306,50635.97165035505,30831.609958915098,30831.609958915098,-34840.82814116793,-34840.82814116793,-34840.82814116793,0.0,0.0,0.0,0.0,0.0,0.0,5443.571645752521,5443.571645752521,5443.571645752521,818.5582136223502,818.5582136223502,818.5582136223502,-4388.5691645251045,-4388.5691645251045,-4388.5691645251045,-36714.38883601769,-36714.38883601769,-36714.38883601769,0.0,0.0,0.0,-4009.218182252829
2017-05-06,30888.799433202945,-61527.47257899743,58854.387168965906,30888.799433202945,30888.799433202945,-31117.698527695535,-31117.698527695535,-31117.698527695535,0.0,0.0,0.0,0.0,0.0,0.0,9418.152088492343,9418.152088492343,9418.152088492343,-562.0853997790009,-562.0853997790009,-562.0853997790009,-2351.1318084746367,-2351.1318084746367,-2351.1318084746367,-37622.633407934234,-37622.633407934234,-37622.633407934234,0.0,0.0,0.0,-228.89909449258994
2017-05-07,30945.988907490795,-59911.46970643164,61764.960542423454,30945.988907490795,30945.988907490795,-29732.924146855778,-29732.924146855778,-29732.924146855778,0.0,0.0,0.0,0.0,0.0,0.0,12494.756044750688,12494.756044750688,12494.756044750688,-1696.165418709627,-1696.165418709627,-1696.165418709627,-2977.465466069339,-2977.465466069339,-2977.465466069339,-37554.04930682748,-37554.04930682748,-37554.04930682748,0.0,0.0,0.0,1213.0647606350176
2017-05-08,31003.178381778645,-56722.68097827704,62198.71700445617,31003.178381778645,31003.178381778645,-27826.757374188524,-27826.757374188524,-27826.757374188524,0.0,0.0,0.0,0.0,0.0,0.0,12608.974098805164,12608.974098805164,12608.974098805164,-2290.4744773550456,-2290.4744773550456,-2290.4744773550456,-1411.0051757709848,-1411.0051757709848,-1411.0051757709848,-36734.251819867655,-36734.251819867655,-36734.251819867655,0.0,0.0,0.0,3176.421007590121
2017-05-09,31060.36785606649,-48186.931010610126,69133.16378627607,31060.36785606649,31060.36785606649,-21556.284439952535,-21556.284439952535,-21556.284439952535,0.0,0.0,0.0,0.0,0.0,0.0,14692.606074988009,14692.606074988009,14692.606074988009,-2104.601801503878,-2104.601801503878,-2104.601801503878,1320.3942868527786,1320.3942868527786,1320.3942868527786,-35464.68300028944,-35464.68300028944,-35464.68300028944,0.0,0.0,0.0,9504.083416113954
2017-05-10,31117.557330354335,-41014.95964967006,74471.24578009018,31117.557330354335,31117.557330354335,-15629.80792454115,-15629.80792454115,-15629.80792454115,0.0,0.0,0.0,0.0,0.0,0.0,19866.970149686953,19866.970149686953,19866.970149686953,-998.6176574598206,-998.6176574598206,-998.6176574598206,-425.81732500057984,-425.81732500057984,-425.81732500057984,-34072.34309176772,-34072.34309176772,-34072.34309176772,0.0,0.0,0.0,15487.749405813185
2017-05-11,31174.746804642185,-36870.06291490712,84793.42281157656,31174.746804642185,31174.746804642185,-10015.948223218558,-10015.948223218558,-10015.948223218558,0.0,0.0,0.0,0.0,0.0,0.0,18993.446141520628,18993.446141520628,18993.446141520628,1034.7588365543222,1034.7588365543222,1034.7588365543222,2813.2704882501034,2813.2704882501034,2813.2704882501034,-32857.4236895436,-32857.4236895436,-32857.4236895436,0.0,0.0,0.0,21158.798581423627
2017-05-12,31231.936278930032,-53219.94398956596,67072.71369175464,31231.936278930032,31231.936278930032,-25756.6164202267,-25756.6164202267,-25756.6164202267,0.0,0.0,0.0,0.0,0.0,0.0,6819.45987012823,6819.45987012823,6819.45987012823,3858.5675554980935,3858.5675554980935,3858.5675554980935,-4388.569164538329,-4388.569164538329,-4388.569164538329,-32046.07468131471,-32046.07468131471,-32046.07468131471,0.0,0.0,0.0,5475.319858703333
2017-05-13,31289.12575321788,-62319.984973993225,55349.78433014373,31289.12575321788,31289.12575321788,-33786.867227028735,-33786.867227028735,-33786.867227028735,0.0,0.0,0.0,0.0,0.0,0.0,-6883.265314666311,-6883.265314666311,-6883.265314666311,7202.36366615554,7202.36366615554,7202.36366615554,-2351.1318084793534,-2351.1318084793534,-2351.1318084793534,-31754.83377003861,-31754.83377003861,-31754.83377003861,0.0,0.0,0.0,-2497.7414738108564
2017-05-14,31346.315227505722,-60916.540298760265,56844.92766014239,31346.315227505722,31346.315227505722,-34569.54398240285,-34569.54398240285,-34569.54398240285,0.0,0.0,0.0,0.0,0.0,0.0,-10314.017125227561,-10314.017125227561,-10314.017125227561,10693.637478529148,10693.637478529148,10693.637478529148,-2977.465466075997,-2977.465466075997,-2977.465466075997,-31971.698869628446,-31971.698869628446,-31971.698869628446,0.0,0.0,0.0,-3223.228754897129
